"Id","Role","Company Name","Location","Intern Type","Skills","Opening","Duration_Months","Stipend_Num","Posted_On","Required_Qualification","Industry_Sector","Work_Arrangement","Job Description"
"MCA011","Frontend Developer","PixelPerfect Designs","Bangalore","Full-time","HTML|CSS|JavaScript|React","4","3","20000","2025-09-06","B.Tech","IT & Software","In-Office","PixelPerfect Designs is seeking a Frontend Developer Intern in Bangalore to build beautiful user interfaces. You will work with React to create responsive web applications. Responsibilities: - Develop new user-facing features using React.js. - Translate designs and wireframes into high-quality code. - Optimize components for maximum performance. Requirements: - Strong proficiency in HTML, CSS, JavaScript, and React. - Pursuing a B.Tech or related degree. This is a 3-month, full-time role."
"MCA012","Frontend Developer","Creative Minds","Remote","Full-time","Vue.js|TypeScript|CSS","3","6","18000","2025-08-29","Any Graduate","IT & Software","Work from Home","Join Creative Minds as a remote Frontend Developer Intern. We are looking for someone passionate about UI/UX to work with Vue.js and TypeScript. Responsibilities: - Build and maintain web components using Vue.js. - Ensure the technical feasibility of UI/UX designs. - Collaborate with backend developers and designers. Requirements: - Familiarity with Vue.js, TypeScript, and modern CSS. - Open to any graduate with a strong portfolio. This is a 6-month, remote internship."
"MCA013","Frontend Developer","Innovatech Solutions","Pune","Full-time","Angular|JavaScript|Sass","2","3","22000","2025-09-02","B.Tech","IT & Software","Hybrid","Innovatech Solutions in Pune offers a Frontend Developer Internship (Hybrid). You will work on large-scale enterprise applications using Angular. Responsibilities: - Develop application features using Angular and JavaScript. - Write clean and maintainable code with Sass. - Work in an agile development environment. Requirements: - Experience with Angular, JavaScript, and Sass. - Currently pursuing a B.Tech. This is a 3-month, full-time role."
"MCA014","Frontend Developer","WebWeavers","Lucknow","Full-time","HTML|CSS|JavaScript","5","2","12000","2025-08-26","Any Graduate","IT & Software","In-Office","WebWeavers in Lucknow is looking for a Frontend Developer Intern. This is a great opportunity to strengthen your fundamentals in core web technologies. Responsibilities: - Create web pages from design mockups using HTML and CSS. - Implement interactivity with JavaScript. - Ensure cross-browser compatibility. Requirements: - Solid skills in HTML, CSS, and vanilla JavaScript. - Open to any graduate. This is a 2-month, full-time internship."
"MCA015","Frontend Developer","UI Masters","Delhi","Full-time","React|Redux|TypeScript","3","6","25000","2025-09-11","B.Tech","IT & Software","In-Office","UI Masters in Delhi is hiring a Frontend Developer Intern to work on complex web applications. You will use React, Redux for state management, and TypeScript. Responsibilities: - Develop and maintain our React-based platform. - Manage application state using Redux. - Write type-safe code with TypeScript. Requirements: - Strong experience with React, Redux, and TypeScript. - Pursuing a B.Tech degree. This is a 6-month, full-time internship."
"MCA016","Frontend Developer","PixelPerfect Designs","Remote","Part-time","Vue.js|CSS|JavaScript","2","6","15000","2025-08-21","Any Graduate","IT & Software","Work from Home","PixelPerfect Designs has a remote, part-time opening for a Frontend Developer Intern. This role is perfect for students looking to gain experience with Vue.js. Responsibilities: - Assist in building UI components. - Convert designs to functional web pages. - Debug and fix frontend issues. Requirements: - Knowledge of Vue.js, CSS, and JavaScript. - Open to any graduate. This is a 6-month, part-time role."
"MCA017","Frontend Developer","LogicLoop","Hyderabad","Full-time","React|HTML|CSS","4","3","19000","2025-09-04","B.Tech","IT & Software","In-Office","LogicLoop in Hyderabad is looking for a Frontend Developer Intern to join their team. You will be working on creating user interfaces with React. Responsibilities: - Collaborate with designers to implement UI. - Build reusable components and front-end libraries. - Ensure responsiveness of applications. Requirements: - Proficiency in React, HTML, and CSS. - Enrolled in a B.Tech program. This is a 3-month, full-time internship."
"MCA018","Frontend Developer","CodeCrafters","Bangalore","Full-time","Angular|TypeScript|RxJS","2","6","24000","2025-08-27","B.Tech","IT & Software","Hybrid","CodeCrafters in Bangalore is seeking a Frontend Developer Intern (Hybrid) to work on dynamic, data-driven applications using Angular and RxJS. Responsibilities: - Develop complex UI features with Angular. - Manage asynchronous operations with RxJS. - Write robust and testable code. Requirements: - Strong understanding of Angular, TypeScript, and RxJS. - Currently pursuing a B.Tech degree. This is a 6-month, full-time role."
"MCA019","Frontend Developer","Creative Minds","Lucknow","Full-time","JavaScript|jQuery|Bootstrap","5","3","14000","2025-09-09","Any Graduate","IT & Software","In-Office","Creative Minds in Lucknow is hiring a Frontend Developer Intern. This role focuses on building responsive websites using Bootstrap and jQuery. Responsibilities: - Develop websites based on provided themes. - Use jQuery for DOM manipulation and effects. - Ensure mobile-first responsiveness with Bootstrap. Requirements: - Good knowledge of JavaScript, jQuery, and Bootstrap. - Open to any graduate. This is a 3-month, full-time internship."
"MCA020","Frontend Developer","UI Masters","Remote","Full-time","React|Next.js|TypeScript","3","3","22000","2025-08-31","B.Tech","IT & Software","Work from Home","UI Masters has a remote Frontend Developer Internship opening. You'll work on server-side rendered applications using React and Next.js. Responsibilities: - Build SEO-friendly web apps with Next.js. - Develop React components in TypeScript. - Optimize for performance and scalability. Requirements: - Experience with React, Next.js, and TypeScript. - Pursuing a B.Tech. This is a 3-month, remote internship."
"MCA021","Full Stack Developer","Digital Ascent","Hyderabad","Full-time","React|Node.js|MongoDB","2","6","28000","2025-09-08","B.Tech","IT & Software","Hybrid","Digital Ascent in Hyderabad offers a Full Stack Developer Internship (Hybrid). You will work on both frontend (React) and backend (Node.js, MongoDB) development. Responsibilities: - Develop end-to-end features. - Design and implement APIs. - Manage database schemas. Requirements: - Knowledge of the MERN stack (React, Node.js, MongoDB). - Enrolled in a B.Tech program. This is a 6-month, full-time role."
"MCA022","Full Stack Developer","CodeGenius","Bangalore","Full-time","Angular|Java|Spring Boot|MySQL","3","6","30000","2025-09-01","B.Tech","IT & Software","In-Office","CodeGenius in Bangalore is hiring a Full Stack Developer Intern. You will work with a popular enterprise stack: Angular for the frontend and Java/Spring Boot for the backend. Responsibilities: - Build features across the full technology stack. - Write backend services in Java. - Develop UI with Angular. Requirements: - Familiarity with Angular, Java, Spring Boot, and MySQL. - Pursuing a B.Tech. This is a 6-month, full-time internship."
"MCA023","Full Stack Developer","TechNex","Remote","Full-time","Vue.js|Python|Django|PostgreSQL","4","3","25000","2025-09-12","B.Tech","IT & Software","Work from Home","TechNex has a remote Full Stack Developer Internship. This role involves using a modern stack with Vue.js on the front-end and Python/Django on the back-end. Responsibilities: - Develop user-facing features with Vue.js. - Build backend APIs with Django REST Framework. - Work with PostgreSQL databases. Requirements: - Knowledge of Vue.js, Python, Django, and PostgreSQL. - Enrolled in a B.Tech program. This is a 3-month, remote role."
"MCA024","Full Stack Developer","Innovatech Solutions","Pune","Full-time","React|Node.js|Express","2","3","26000","2025-08-24","B.Tech","IT & Software","In-Office","Innovatech Solutions in Pune is seeking a Full Stack Developer Intern. You will be working on the MERN stack to build complete web applications. Responsibilities: - Develop both frontend and backend components. - Create and consume RESTful services. - Collaborate in an agile team. Requirements: - Experience with React, Node.js, and Express. - Pursuing a B.Tech. This is a 3-month, full-time internship."
"MCA025","Full Stack Developer","LogicLoop","Lucknow","Full-time","PHP|Laravel|MySQL|JavaScript","5","6","18000","2025-09-03","B.Tech","IT & Software","In-Office","LogicLoop in Lucknow offers a Full Stack Developer Internship. You will work on the LAMP stack, developing features using PHP, Laravel, and JavaScript. Responsibilities: - Maintain and enhance existing web applications. - Write both server-side (PHP) and client-side (JavaScript) code. - Manage MySQL databases. Requirements: - Skills in PHP, Laravel, MySQL, and JavaScript. - Enrolled in a B.Tech program. This is a 6-month, full-time role."
"MCA026","Full Stack Developer","Quantum Systems","Remote","Full-time","Angular|C#|.NET|SQL Server","2","6","27000","2025-08-28","B.Tech","IT & Software","Work from Home","Quantum Systems has a remote Full Stack Developer Internship. You will work with the .NET ecosystem, using C# for the backend and Angular for the frontend. Responsibilities: - Develop web applications using the .NET framework. - Create UIs with Angular. - Work with SQL Server. Requirements: - Familiarity with Angular, C#, .NET, and SQL Server. - Pursuing a B.Tech. This is a 6-month, remote internship."
"MCA027","Full Stack Developer","WebWeavers","Delhi","Full-time","React|Node.js|MongoDB","3","3","28000","2025-09-06","B.Tech","IT & Software","Hybrid","WebWeavers in Delhi is looking for a Full Stack Developer Intern (Hybrid) to work on exciting projects using the MERN stack. Responsibilities: - Contribute to all phases of the development lifecycle. - Build responsive UIs with React. - Develop backend services with Node.js. Requirements: - Strong understanding of the MERN stack. - Enrolled in a B.Tech program. This is a 3-month, full-time role."
"MCA028","Full Stack Developer","Digital Ascent","Lucknow","Full-time","HTML|CSS|JavaScript|PHP","4","3","17000","2025-08-30","B.Tech","IT & Software","In-Office","Digital Ascent in Lucknow is hiring a Full Stack Developer Intern. This role focuses on fundamental web technologies, including PHP for the backend. Responsibilities: - Build websites from scratch using HTML, CSS, JavaScript, and PHP. - Manage content and databases. - Ensure websites are functional and user-friendly. Requirements: - Solid grasp of HTML, CSS, JavaScript, and PHP. - Pursuing a B.Tech. This is a 3-month, full-time internship."
"MCA029","Full Stack Developer","CodeGenius","Remote","Part-time","Python|Flask|React|PostgreSQL","2","6","22000","2025-09-05","B.Tech","IT & Software","Work from Home","CodeGenius offers a remote, part-time Full Stack Developer Internship. You will work with a Python/Flask backend and a React frontend. Responsibilities: - Assist in building web services with Flask. - Develop UI components in React. - Work with PostgreSQL. Requirements: - Knowledge of Python, Flask, React, and PostgreSQL. - Enrolled in a B.Tech program. This is a 6-month, part-time role."
"MCA030","Full Stack Developer","TechNex","Bangalore","Full-time","Java|Spring Boot|React","3","3","30000","2025-08-20","B.Tech","IT & Software","In-Office","TechNex in Bangalore is seeking a Full Stack Developer Intern. You will develop modern web applications using Java/Spring Boot for the backend and React for the frontend. Responsibilities: - Write backend APIs and services. - Build interactive user interfaces. - Participate in code reviews and team meetings. Requirements: - Familiarity with Java, Spring Boot, and React. - Pursuing a B.Tech. This is a 3-month, full-time internship."
"MCA031","Mobile App Developer","Apptivate Labs","Bangalore","Full-time","Flutter|Dart|Firebase","3","6","24000","2025-09-07","B.Tech","IT & Software","Hybrid","Apptivate Labs in Bangalore is looking for a Mobile App Developer Intern (Hybrid) to build cross-platform apps with Flutter. Responsibilities: - Develop and maintain mobile applications using Flutter and Dart. - Integrate with backend services using Firebase. - Participate in the full app development lifecycle. Requirements: - Experience with Flutter, Dart, and Firebase. - Enrolled in a B.Tech program. This is a 6-month, full-time role."
"MCA032","Mobile App Developer","Mobility Experts","Remote","Full-time","React Native|JavaScript","4","3","22000","2025-08-29","B.Tech","IT & Software","Work from Home","Join Mobility Experts as a remote Mobile App Developer Intern. You will use your JavaScript skills to build mobile apps with React Native. Responsibilities: - Develop mobile apps for iOS and Android using React Native. - Collaborate with designers to create a seamless user experience. - Write clean and maintainable code. Requirements: - Knowledge of React Native and JavaScript. - Pursuing a B.Tech. This is a 3-month, remote internship."
"MCA033","Mobile App Developer","Innovatech Solutions","Pune","Full-time","Android|Kotlin|Java","2","6","25000","2025-09-03","B.Tech","IT & Software","In-Office","Innovatech Solutions in Pune is hiring a native Android Developer Intern. You will work with Kotlin and Java to build high-performance Android apps. Responsibilities: - Design and build applications for the Android platform. - Ensure the performance, quality, and responsiveness of applications. - Work with RESTful APIs to connect applications to back-end services. Requirements: - Strong knowledge of Android development, Kotlin, and Java. - Enrolled in a B.Tech program. This is a 6-month, full-time role."
"MCA034","Mobile App Developer","CodeCrafters","Hyderabad","Full-time","iOS|Swift|Xcode","2","6","25000","2025-08-25","B.Tech","IT & Software","In-Office","CodeCrafters in Hyderabad is seeking a native iOS Developer Intern. You will be responsible for developing and maintaining applications for iOS devices. Responsibilities: - Develop iOS applications using Swift and Xcode. - Collaborate with the design team to define app features. - Ensure code quality and performance. Requirements: - Familiarity with iOS development, Swift, and Xcode. - Pursuing a B.Tech. This is a 6-month, full-time internship."
"MCA035","Mobile App Developer","Apptivate Labs","Lucknow","Full-time","Android|Java|XML","5","3","17000","2025-09-10","B.Tech","IT & Software","In-Office","Apptivate Labs in Lucknow is looking for an Android Developer Intern. This role focuses on native Android development using Java and XML for layouts. Responsibilities: - Assist in the development of Android applications. - Create user interfaces using XML. - Debug and fix issues in existing applications. Requirements: - Basic understanding of Android, Java, and XML. - Enrolled in a B.Tech program. This is a 3-month, full-time role."
"MCA036","Mobile App Developer","Mobility Experts","Remote","Full-time","Flutter|Dart","3","3","23000","2025-08-22","B.Tech","IT & Software","Work from Home","Mobility Experts has a remote Mobile App Developer Internship opening. This is a great opportunity to enhance your skills in cross-platform development with Flutter. Responsibilities: - Write and maintain code for mobile apps using Flutter and Dart. - Participate in UI/UX design discussions. - Test and deploy applications. Requirements: - Experience with Flutter and Dart. - Pursuing a B.Tech. This is a 3-month, remote internship."
"MCA037","Mobile App Developer","Quantum Systems","Bangalore","Full-time","React Native|Redux","2","6","26000","2025-09-01","B.Tech","IT & Software","Hybrid","Quantum Systems in Bangalore is seeking a React Native Developer Intern (Hybrid). You will work on complex mobile applications, managing state with Redux. Responsibilities: - Develop cross-platform apps using React Native. - Implement state management with Redux. - Work closely with API developers. Requirements: - Strong knowledge of React Native and Redux. - Enrolled in a B.Tech program. This is a 6-month, full-time role."
"MCA038","Mobile App Developer","Apptivate Labs","Delhi","Full-time","iOS|SwiftUI","2","3","24000","2025-08-26","B.Tech","IT & Software","In-Office","Apptivate Labs in Delhi is hiring an iOS Developer Intern to work with the latest Apple technologies, including SwiftUI. Responsibilities: - Build modern iOS applications using SwiftUI. - Collaborate on feature design and implementation. - Ensure apps are performant and user-friendly. Requirements: - Familiarity with iOS development and SwiftUI. - Pursuing a B.Tech. This is a 3-month, full-time internship."
"MCA039","Mobile App Developer","LogicLoop","Remote","Part-time","Android|Kotlin","3","6","20000","2025-09-08","B.Tech","IT & Software","Work from Home","LogicLoop offers a remote, part-time Android Developer Internship. You will work with Kotlin to develop and maintain our mobile applications. Responsibilities: - Write clean and efficient code in Kotlin. - Assist in fixing bugs and improving application performance. - Collaborate with a remote team. Requirements: - Basic knowledge of Android and Kotlin. - Enrolled in a B.Tech program. This is a 6-month, part-time role."
"MCA040","Mobile App Developer","Innovatech Solutions","Lucknow","Full-time","Flutter|Firebase","4","3","18000","2025-08-31","B.Tech","IT & Software","In-Office","Innovatech Solutions in Lucknow is looking for a Flutter Developer Intern. You will build cross-platform apps and connect them to Firebase services. Responsibilities: - Develop mobile apps from the ground up using Flutter. - Use Firebase for authentication, database, and other backend services. - Participate in team meetings and brainstorming sessions. Requirements: - Experience with Flutter and Firebase. - Pursuing a B.Tech. This is a 3-month, full-time internship."
"MCA041","DevOps Intern","Cloudify Inc","Bangalore","Full-time","AWS|Docker|Kubernetes|Jenkins","3","6","28000","2025-09-09","B.Tech","IT & Software","Hybrid","Cloudify Inc in Bangalore is seeking a DevOps Intern (Hybrid). You'll gain experience in cloud infrastructure and automation tools. Responsibilities: - Assist in managing our AWS infrastructure. - Work with containerization technologies like Docker and Kubernetes. - Help maintain our CI/CD pipelines using Jenkins. Requirements: - Basic understanding of AWS, Docker, Kubernetes, and Jenkins. - Enrolled in a B.Tech program. This is a 6-month, full-time role."
"MCA042","DevOps Intern","InfraCloud","Remote","Full-time","Terraform|Ansible|GCP","2","6","26000","2025-09-01","B.Tech","IT & Software","Work from Home","InfraCloud has a remote DevOps Internship opening. You will learn Infrastructure as Code (IaC) and configuration management. Responsibilities: - Write infrastructure scripts using Terraform. - Automate server configuration with Ansible. - Work with Google Cloud Platform (GCP). Requirements: - Familiarity with Terraform, Ansible, and GCP concepts. - Pursuing a B.Tech. This is a 6-month, remote internship."
"MCA043","DevOps Intern","Quantum Systems","Pune","Full-time","Azure|Docker|CI/CD","2","3","27000","2025-08-27","B.Tech","IT & Software","In-Office","Quantum Systems in Pune is hiring a DevOps Intern. This role focuses on the Microsoft Azure cloud platform and CI/CD practices. Responsibilities: - Help manage resources in Azure. - Create and manage Docker containers. - Contribute to our CI/CD pipelines. Requirements: - Knowledge of Azure, Docker, and CI/CD principles. - Enrolled in a B.Tech program. This is a 3-month, full-time internship."
"MCA044","DevOps Intern","TechGenix","Hyderabad","Full-time","AWS|Jenkins|Git","4","6","29000","2025-09-04","B.Tech","IT & Software","In-Office","TechGenix in Hyderabad is looking for a DevOps Intern. You will work on automating our software development and deployment processes. Responsibilities: - Manage and improve our Jenkins pipelines. - Work extensively with AWS services. - Use Git for version control in a team environment. Requirements: - Understanding of AWS, Jenkins, and Git. - Pursuing a B.Tech. This is a 6-month, full-time role."
"MCA045","DevOps Intern","Cloudify Inc","Remote","Full-time","Docker|Kubernetes|Linux","3","3","25000","2025-08-23","B.Tech","IT & Software","Work from Home","Cloudify Inc offers a remote DevOps Internship focused on container orchestration. You will get deep, hands-on experience with Docker and Kubernetes. Responsibilities: - Create Dockerfiles and build container images. - Assist in managing our Kubernetes clusters. - Work in a Linux environment. Requirements: - Strong interest in Docker, Kubernetes, and Linux. - Enrolled in a B.Tech program. This is a 3-month, remote role."
"MCA046","DevOps Intern","Cybernetic Corp","Lucknow","Full-time","Git|Shell Scripting|Linux","5","3","18000","2025-09-06","B.Tech","IT & Software","In-Office","Cybernetic Corp in Lucknow is hiring a DevOps Intern. This is an entry-level role focusing on foundational DevOps skills. Responsibilities: - Manage code repositories using Git. - Write automation scripts using Shell Scripting. - Perform tasks on Linux servers. Requirements: - Familiarity with Git, Shell Scripting, and the Linux command line. - Pursuing a B.Tech. This is a 3-month, full-time internship."
"MCA047","DevOps Intern","InfraCloud","Bangalore","Full-time","AWS|Terraform|Python","2","6","30000","2025-08-30","B.Tech","IT & Software","Hybrid","InfraCloud in Bangalore is seeking a DevOps Intern (Hybrid). You will combine cloud knowledge with programming to automate infrastructure. Responsibilities: - Provision AWS infrastructure using Terraform. - Write automation scripts in Python. - Collaborate with the development team. Requirements: - Knowledge of AWS, Terraform, and Python scripting. - Enrolled in a B.Tech program. This is a 6-month, full-time role."
"MCA048","DevOps Intern","Quantum Systems","Remote","Full-time","Azure|PowerShell|CI/CD","2","6","28000","2025-09-11","B.Tech","IT & Software","Work from Home","Quantum Systems has a remote DevOps Internship opening. You will work with the Azure cloud, automating tasks with PowerShell. Responsibilities: - Assist in managing Azure services. - Write PowerShell scripts for automation. - Support and improve CI/CD processes. Requirements: - Understanding of Azure, PowerShell, and CI/CD. - Pursuing a B.Tech. This is a 6-month, remote internship."
"MCA049","DevOps Intern","Cloudify Inc","Delhi","Full-time","Docker|Jenkins|Git","3","3","27000","2025-08-21","B.Tech","IT & Software","In-Office","Cloudify Inc in Delhi is looking for a DevOps Intern. You will be integral to our software delivery pipeline. Responsibilities: - Work with Docker to containerize applications. - Manage build and deployment jobs in Jenkins. - Use Git for source code management. Requirements: - Familiarity with Docker, Jenkins, and Git. - Enrolled in a B.Tech program. This is a 3-month, full-time internship."
"MCA050","DevOps Intern","TechGenix","Pune","Full-time","AWS|Linux|Ansible","2","3","28000","2025-09-02","B.Tech","IT & Software","In-Office","TechGenix in Pune is hiring a DevOps Intern. This role combines cloud, OS, and configuration management skills. Responsibilities: - Manage servers on AWS. - Perform administrative tasks on Linux systems. - Use Ansible to automate configurations. Requirements: - Knowledge of AWS, Linux, and Ansible. - Pursuing a B.Tech. This is a 3-month, full-time role."
"MCA051","QA Tester","BugFinders","Pune","Full-time","Manual Testing|Selenium|JIRA","4","3","15000","2025-09-05","Any Graduate","IT & Software","In-Office","BugFinders in Pune is seeking a QA Tester Intern. You will be responsible for ensuring the quality of our software through manual and automated testing. Responsibilities: - Perform manual testing and create test cases. - Write basic automation scripts with Selenium. - Report and track bugs using JIRA. Requirements: - An eye for detail and understanding of testing concepts. Open to any graduate. This is a 3-month, full-time internship."
"MCA052","QA Tester","Quality Assured","Remote","Full-time","Automation Testing|Java|TestNG","3","6","18000","2025-08-28","B.Tech","IT & Software","Work from Home","Quality Assured has a remote QA Tester Internship focused on automation. You will write and maintain automated test suites. Responsibilities: - Develop test automation scripts using Java and TestNG. - Execute test suites and analyze results. - Work closely with developers to identify issues. Requirements: - Basic programming knowledge in Java and familiarity with TestNG. Pursuing a B.Tech. This is a 6-month, remote role."
"MCA053","QA Tester","Innovatech Solutions","Bangalore","Full-time","Selenium|Python|Pytest","2","3","20000","2025-09-10","B.Tech","IT & Software","Hybrid","Innovatech Solutions in Bangalore is looking for a QA Tester Intern (Hybrid). You will use Python and Pytest to automate web application testing. Responsibilities: - Write and execute automated tests for web UIs with Selenium. - Use the Pytest framework for structuring tests. - Report bugs and verify fixes. Requirements: - Knowledge of Python, Pytest, and Selenium. Enrolled in a B.Tech program. This is a 3-month, full-time internship."
"MCA054","QA Tester","LogicLoop","Lucknow","Full-time","Manual Testing|JIRA|Test Cases","5","2","10000","2025-09-01","Any Graduate","IT & Software","In-Office","LogicLoop in Lucknow is hiring a QA Tester Intern. This role is focused on manual testing and is a great starting point in the software industry. Responsibilities: - Execute manual test cases and report results. - Document and track defects in JIRA. - Write clear and concise test cases. Requirements: - Strong attention to detail. Open to any graduate. This is a 2-month, full-time internship."
"MCA055","QA Tester","BugFinders","Remote","Full-time","API Testing|Postman|JIRA","3","6","17000","2025-08-25","Any Graduate","IT & Software","Work from Home","BugFinders offers a remote QA Tester Internship specializing in API testing. You will ensure the reliability of our backend services. Responsibilities: - Test REST APIs using tools like Postman. - Write test plans for API endpoints. - Log and manage defects in JIRA. Requirements: - Understanding of APIs and experience with Postman. Open to any graduate. This is a 6-month, remote role."
"MCA056","QA Tester","Cybernetic Corp","Hyderabad","Full-time","Selenium|Java|Cucumber","2","6","22000","2025-09-07","B.Tech","IT & Software","In-Office","Cybernetic Corp in Hyderabad is looking for a QA Tester Intern to work on Behavior-Driven Development (BDD). Responsibilities: - Write automated tests using Selenium, Java, and Cucumber. - Create feature files with Gherkin syntax. - Collaborate with developers and business analysts. Requirements: - Knowledge of Selenium, Java, and Cucumber. Enrolled in a B.Tech program. This is a 6-month, full-time internship."
"MCA057","QA Tester","Quality Assured","Lucknow","Part-time","Manual Testing|Excel","4","3","8000","2025-08-30","Any Graduate","IT & Software","In-Office","Quality Assured in Lucknow has a part-time opening for a QA Tester Intern. This role involves manual testing and documentation. Responsibilities: - Perform testing on web and mobile applications. - Document test results in Excel. - Communicate findings to the development team. Requirements: - Meticulous and detail-oriented. Open to any graduate. This is a 3-month, part-time internship."
"MCA058","QA Tester","BugFinders","Bangalore","Full-time","Automation Testing|Cypress","2","3","21000","2025-09-11","B.Tech","IT & Software","Hybrid","BugFinders in Bangalore is seeking a QA Tester Intern (Hybrid) to work with modern frontend testing tools like Cypress. Responsibilities: - Write end-to-end tests for our web applications using Cypress. - Debug and maintain the test suite. - Work in an agile environment. Requirements: - Familiarity with JavaScript and Cypress. Pursuing a B.Tech. This is a 3-month, full-time internship."
"MCA059","QA Tester","Innovatech Solutions","Remote","Full-time","Manual Testing|JIRA|Agile","3","6","16000","2025-08-22","Any Graduate","IT & Software","Work from Home","Innovatech Solutions has a remote QA Tester Internship. You will be an essential part of our agile team, ensuring product quality. Responsibilities: - Participate in agile ceremonies and perform manual testing during sprints. - Use JIRA to manage test cases and defects. - Provide timely feedback to the team. Requirements: - Understanding of the Agile process. Open to any graduate. This is a 6-month, remote role."
